event-id,visible,timestamp,location-long,location-lat,bar:barometric-pressure,external-temperature,gps:dop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,location-error-numerical,manually-marked-outlier,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
20432407733,true,2018-05-10 12:03:06.000,6.5813208,53.0082788,,34.0,1.7,9,33.2,0.0329541835144877,290.0787209665925,7.0,false,5.9,false,7.6,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407736,true,2018-05-10 12:33:21.000,6.5812418,53.0083071,,32.0,1.7,8,8.5,0.149485001486518,333.2629014752505,1.0,false,5.4,false,8.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407739,true,2018-05-10 13:03:12.000,6.5812426,53.0082702,,32.2,1.8,7,7.6,0.0905159295379229,25.4977130708798,5.0,false,5.9,false,6.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407742,true,2018-05-10 13:33:17.000,6.5804059,53.0088914,,34.2,2.1,6,8.0,0.400581737280526,240.118830517642,0.0,false,9.0,false,8.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407745,true,2018-05-10 14:03:28.000,6.5811173,53.0083539,,30.9,2.7,5,8.1,0.953370346534161,268.2391989223037,6.0,false,9.0,false,8.6,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407748,true,2018-05-10 14:33:21.000,6.5806462,53.0077243,,30.9,2.9,4,9.3,0.140098263919387,259.938025286773,14.0,false,7.2,false,9.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407751,true,2018-05-10 15:03:36.000,6.5804816,53.008088,,31.3,2.5,7,32.4,0.376709491214292,233.739239186861,-2.0,false,3.9,false,5.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407754,true,2018-05-10 15:33:51.000,6.5899829,53.0069531,,34.0,2.0,7,7.7,1.60287832002976,346.2771536459924,5.0,false,7.0,false,8.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407757,true,2018-05-10 16:03:43.000,6.5906688,53.0071727,,33.0,1.8,6,7.9,0.870712531275725,349.2118491652593,1.0,false,10.8,false,9.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407760,true,2018-05-10 16:33:35.000,6.5808187,53.0075138,,26.5,3.5,5,8.0,1.18085029862653,227.924372805239,12.0,false,9.8,false,10.8,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407763,true,2018-05-10 17:03:39.000,6.5806462,53.007736,,29.6,7.4,4,20.1,1.04098316186439,309.7059383434531,9.0,false,11.8,false,14.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407766,true,2018-05-10 17:34:06.000,6.5805808,53.0077776,,29.5,3.1,7,23.4,0.0547722314146654,120.911630206015,15.0,false,2.6,false,6.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407769,true,2018-05-10 18:04:30.000,6.5806089,53.007762,,29.1,1.4,11,39.5,0.0369336671274634,154.905270674008,11.0,false,2.2,false,2.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407772,true,2018-05-10 18:34:22.000,6.580616,53.0077567,,27.0,1.6,10,7.8,0.108535256949681,142.231616869459,8.0,false,2.8,false,3.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407775,true,2018-05-10 19:04:30.000,6.5806066,53.0077725,,27.2,1.4,9,8.0,0.154662554768838,221.084249166023,10.0,false,3.9,false,4.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407778,true,2018-05-10 19:34:21.000,6.5806239,53.0077698,,27.3,3.3,5,7.2,0.0936078209696423,275.0169041209157,9.0,false,6.8,false,15.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407781,true,2018-05-10 20:04:24.000,6.5805986,53.0077754,,26.6,7.3,4,18.3,0.279321182982818,280.8263061699285,7.0,false,3.1,false,8.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407784,true,2018-05-10 20:35:07.000,6.5806085,53.0077811,,26.2,1.7,11,37.4,0.00652859857667218,275.7203341567731,9.0,false,1.7,false,2.8,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407787,true,2018-05-10 21:05:01.000,6.5806267,53.007789,,26.3,1.6,11,7.9,0.0810845055934191,172.154595957128,7.0,false,3.7,false,5.6,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407790,true,2018-05-10 21:34:53.000,6.5806174,53.0077933,,25.7,1.6,10,8.1,0.147139091147951,42.6603892749278,8.0,false,3.9,false,4.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407793,true,2018-05-10 22:04:44.000,6.5806185,53.0077728,,26.7,1.7,9,7.3,0.235902368026266,359.9032956737006,10.0,false,7.8,false,8.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407796,true,2018-05-10 22:34:53.000,6.5806174,53.0077706,,27.5,1.9,8,8.5,0.164693939410714,295.5052072488098,8.0,false,10.6,false,12.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407799,true,2018-05-10 23:04:44.000,6.5805497,53.0077793,,26.8,3.1,7,7.7,1.33518131986948,276.6370197894295,5.0,false,8.6,false,12.0,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407802,true,2018-05-10 23:34:39.000,6.5805168,53.0077886,,27.0,3.8,6,10.9,0.951378854714357,308.4856548215393,0.0,false,19.5,false,21.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407805,true,2018-05-11 00:05:06.000,6.580626,53.0077791,,27.6,1.8,10,30.0,0.0214829380036062,151.307599948992,6.0,false,3.3,false,5.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407808,true,2018-05-11 00:34:54.000,6.5806206,53.007783,,27.7,1.8,9,10.3,0.68289131826017,14.6126360654276,6.0,false,4.6,false,9.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407811,true,2018-05-11 01:04:43.000,6.5806188,53.0077951,,27.7,1.6,8,7.5,0.683055832979014,359.0042441118494,5.0,false,5.4,false,5.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407814,true,2018-05-11 01:34:51.000,6.5806128,53.007755,,27.5,4.6,7,7.7,1.80182441821289,351.95310942550174,7.0,false,11.3,false,8.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407817,true,2018-05-11 02:04:45.000,6.580664,53.0076747,,24.5,3.7,5,9.9,1.62105064832389,332.7728696120719,17.0,false,24.3,false,12.7,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407820,true,2018-05-11 02:35:12.000,6.5837349,53.0074289,,25.6,8.8,4,44.8,0.434426140238327,319.7289131504959,15.0,false,31.4,false,21.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407823,true,2018-05-11 03:07:00.000,6.58345,53.0075619,,26.2,3.3,5,96.7,0.0654926631248178,166.851803228812,3.0,false,6.0,false,9.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407826,true,2018-05-11 03:37:00.000,6.5827862,53.0073128,,26.5,2.8,5,9.5,0.115034432386556,54.4734248986593,27.0,false,12.6,false,17.4,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407829,true,2018-05-11 04:07:06.000,6.5808769,53.0083009,,24.0,3.5,5,23.5,0.419849621737028,172.417479377909,14.0,false,8.9,false,9.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407832,true,2018-05-11 04:37:30.000,6.5807068,53.0083618,,27.9,1.6,7,39.6,0.0630485315010768,282.6561373376409,7.0,false,4.3,false,3.9,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407835,true,2018-05-11 05:07:39.000,6.5804214,53.0083224,,27.4,2.4,6,9.1,0.450515648461596,309.4067769784509,4.0,false,6.7,false,7.3,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407838,true,2018-05-11 05:37:33.000,6.5803809,53.0084327,,33.0,3.3,5,11.3,0.330547497879347,312.3787232954196,7.0,false,7.1,false,13.5,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407841,true,2018-05-11 06:07:26.000,6.5803975,53.0083253,,33.0,4.1,5,12.4,0.680608329194743,293.7017565364814,-15.0,false,24.7,false,26.1,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407844,true,2018-05-11 06:38:01.000,6.5893433,53.006743,,27.2,1.5,9,39.4,0.0163220840800951,142.51023783094,10.0,false,2.3,false,3.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
20432407847,true,2018-05-11 07:07:52.000,6.5904759,53.0071796,,33.0,1.6,8,6.9,0.441534134250183,7.22945307639276,12.0,false,3.5,false,5.2,"gps","Haematopus ostralegus","5642","5515851","O_ASSEN - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in Assen (the Netherlands)"
